old_url,new_url,redirect_needed
https://mitaojun.com/,https://mitaojun.com/,no
https://mitaojun.com/decision-making.html,https://mitaojun.com/decision-making.html,no
https://mitaojun.com/langan.html,https://mitaojun.com/langan.html,no
https://mitaojun.com/simplified-chinese.html,https://mitaojun.com/simplified-chinese.html,no
https://mitaojun.com/junyi-tao.html,https://mitaojun.com/junyi-tao.html,no
https://mitaojun.com/why-wechat-account-undermines-chinese-internet.html,https://mitaojun.com/why-wechat-account-undermines-chinese-internet.html,no
https://mitaojun.com/edx.html,https://mitaojun.com/edx.html,no
https://mitaojun.com/englishhelps.html,https://mitaojun.com/englishhelps.html,no
https://mitaojun.com/post-148.html,https://mitaojun.com/post-148.html,no
https://mitaojun.com/post-138.html,https://mitaojun.com/post-138.html,no
https://mitaojun.com/post-139.html,https://mitaojun.com/post-139.html,no
https://mitaojun.com/letter1.html,https://mitaojun.com/letter1.html,no
https://mitaojun.com/outliers.html,https://mitaojun.com/outliers.html,no
https://mitaojun.com/post-160.html,https://mitaojun.com/post-160.html,no
https://mitaojun.com/post-159.html,https://mitaojun.com/post-159.html,no
https://mitaojun.com/post-111.html,https://mitaojun.com/post-111.html,no
https://mitaojun.com/post-140.html,https://mitaojun.com/post-140.html,no
https://mitaojun.com/post-161.html,https://mitaojun.com/post-161.html,no
https://mitaojun.com/loveonline.html,https://mitaojun.com/loveonline.html,no
https://mitaojun.com/post-110.html,https://mitaojun.com/post-110.html,no
https://mitaojun.com/post-109.html,https://mitaojun.com/post-109.html,no
https://mitaojun.com/post-141.html,https://mitaojun.com/post-141.html,no
https://mitaojun.com/post-162.html,https://mitaojun.com/post-162.html,no
https://mitaojun.com/yuanfen.html,https://mitaojun.com/yuanfen.html,no
https://mitaojun.com/post-129.html,https://mitaojun.com/post-129.html,no
https://mitaojun.com/marriage.html,https://mitaojun.com/marriage.html,no
https://mitaojun.com/post-128.html,https://mitaojun.com/post-128.html,no
https://mitaojun.com/post-106.html,https://mitaojun.com/post-106.html,no
https://mitaojun.com/post-130.html,https://mitaojun.com/post-130.html,no
https://mitaojun.com/post-131.html,https://mitaojun.com/post-131.html,no
https://mitaojun.com/post-105.html,https://mitaojun.com/post-105.html,no
https://mitaojun.com/madman.html,https://mitaojun.com/madman.html,no
https://mitaojun.com/post-149.html,https://mitaojun.com/post-149.html,no
https://mitaojun.com/post-103.html,https://mitaojun.com/post-103.html,no
https://mitaojun.com/post-143.html,https://mitaojun.com/post-143.html,no
https://mitaojun.com/post-102.html,https://mitaojun.com/post-102.html,no
https://mitaojun.com/post-142.html,https://mitaojun.com/post-142.html,no
https://mitaojun.com/post-144.html,https://mitaojun.com/post-144.html,no
https://mitaojun.com/post-101.html,https://mitaojun.com/post-101.html,no
https://mitaojun.com/linsanzhi.html,https://mitaojun.com/linsanzhi.html,no
https://mitaojun.com/post-163.html,https://mitaojun.com/post-163.html,no
https://mitaojun.com/post-165.html,https://mitaojun.com/post-165.html,no
https://mitaojun.com/marx.html,https://mitaojun.com/marx.html,no
https://mitaojun.com/post-132.html,https://mitaojun.com/post-132.html,no
https://mitaojun.com/post-164.html,https://mitaojun.com/post-164.html,no
https://mitaojun.com/post-98.html,https://mitaojun.com/post-98.html,no
https://mitaojun.com/post-97.html,https://mitaojun.com/post-97.html,no
https://mitaojun.com/post-96.html,https://mitaojun.com/post-96.html,no
https://mitaojun.com/post-95.html,https://mitaojun.com/post-95.html,no
https://mitaojun.com/post-94.html,https://mitaojun.com/post-94.html,no
https://mitaojun.com/post-93.html,https://mitaojun.com/post-93.html,no
https://mitaojun.com/post-92.html,https://mitaojun.com/post-92.html,no
https://mitaojun.com/post-91.html,https://mitaojun.com/post-91.html,no
https://mitaojun.com/post-89.html,https://mitaojun.com/post-89.html,no
https://mitaojun.com/post-166.html,https://mitaojun.com/post-166.html,no
https://mitaojun.com/post-88.html,https://mitaojun.com/post-88.html,no
https://mitaojun.com/post-171.html,https://mitaojun.com/post-171.html,no
https://mitaojun.com/post-125.html,https://mitaojun.com/post-125.html,no
https://mitaojun.com/post-167.html,https://mitaojun.com/post-167.html,no
https://mitaojun.com/post-134.html,https://mitaojun.com/post-134.html,no
https://mitaojun.com/post-168.html,https://mitaojun.com/post-168.html,no
https://mitaojun.com/post-87.html,https://mitaojun.com/post-87.html,no
https://mitaojun.com/post-86.html,https://mitaojun.com/post-86.html,no
https://mitaojun.com/post-85.html,https://mitaojun.com/post-85.html,no
https://mitaojun.com/post-147.html,https://mitaojun.com/post-147.html,no
https://mitaojun.com/google.html,https://mitaojun.com/google.html,no
https://mitaojun.com/post-83.html,https://mitaojun.com/post-83.html,no
https://mitaojun.com/post-136.html,https://mitaojun.com/post-136.html,no
https://mitaojun.com/post-169.html,https://mitaojun.com/post-169.html,no
https://mitaojun.com/post-82.html,https://mitaojun.com/post-82.html,no
https://mitaojun.com/post-90.html,https://mitaojun.com/post-90.html,no
https://mitaojun.com/post-81.html,https://mitaojun.com/post-81.html,no
https://mitaojun.com/post-116.html,https://mitaojun.com/post-116.html,no
https://mitaojun.com/post-170.html,https://mitaojun.com/post-170.html,no
https://mitaojun.com/post-135.html,https://mitaojun.com/post-135.html,no
https://mitaojun.com/post-117.html,https://mitaojun.com/post-117.html,no
https://mitaojun.com/post-133.html,https://mitaojun.com/post-133.html,no
https://mitaojun.com/post-119.html,https://mitaojun.com/post-119.html,no
